epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,132.04,0.905,0.57116,0.99085,0.72608,0.62421,0.70656,0.4358,1.16567,0.73306,1.12081,0.00159934,0.00159934,0.00159934
43,135.099,0.9052,0.58384,0.98837,0.77517,0.57459,0.67441,0.41682,1.13107,0.82578,1.10758,0.00159769,0.00159769,0.00159769
44,138.191,0.87646,0.59297,1.00721,0.6916,0.59766,0.68632,0.41993,1.14817,0.69272,1.11723,0.00159604,0.00159604,0.00159604
45,141.174,0.83904,0.54669,0.99059,0.70929,0.54613,0.64469,0.39457,1.13999,0.77601,1.15614,0.00159439,0.00159439,0.00159439
46,144.286,0.87125,0.57689,1.01207,0.66809,0.61405,0.66423,0.40085,1.28406,0.76637,1.23408,0.00159274,0.00159274,0.00159274
47,147.368,0.87717,0.59066,1.02515,0.64561,0.57983,0.64477,0.404,1.21856,0.75131,1.18475,0.00159108,0.00159108,0.00159108
48,150.377,0.88578,0.58578,0.99837,0.54478,0.66151,0.64568,0.40982,1.0471,0.74534,1.075,0.00158943,0.00158943,0.00158943
49,153.211,0.87985,0.57795,0.9862,0.64047,0.60738,0.67119,0.42095,1.08143,0.66187,1.07287,0.00158778,0.00158778,0.00158778
50,156.127,0.85762,0.53175,0.9822,0.76822,0.62954,0.7038,0.44071,1.08441,0.59692,1.06645,0.00158613,0.00158613,0.00158613
51,159.251,0.83335,0.51524,0.98257,0.76637,0.60739,0.67684,0.41772,1.0321,0.60081,1.02179,0.00158448,0.00158448,0.00158448
52,162.235,0.86525,0.53577,0.99807,0.60084,0.65634,0.6405,0.38567,1.07029,0.72689,1.07536,0.00158283,0.00158283,0.00158283
53,165.099,0.85964,0.55615,0.98289,0.61804,0.60738,0.65772,0.38125,1.32522,0.72534,1.3819,0.00158118,0.00158118,0.00158118
54,168.025,0.87953,0.55588,1.00206,0.59672,0.59946,0.62971,0.36275,1.30793,0.78986,1.33455,0.00157953,0.00157953,0.00157953
55,170.966,0.86547,0.53769,0.99948,0.82851,0.56327,0.67866,0.41593,1.12574,0.71627,1.09258,0.00157788,0.00157788,0.00157788
56,174.049,0.88779,0.54581,0.98826,0.64657,0.60223,0.65636,0.40438,1.0542,0.66074,1.0225,0.00157623,0.00157623,0.00157623
57,176.99,0.82676,0.50486,0.98059,0.61297,0.59485,0.66039,0.42319,1.05741,0.70478,1.04027,0.00157458,0.00157458,0.00157458
58,179.976,0.81865,0.50471,0.98395,0.64071,0.6034,0.65916,0.42296,1.041,0.64386,1.05452,0.00157293,0.00157293,0.00157293
59,183.04,0.83463,0.52367,0.99881,0.75606,0.55994,0.683,0.41757,1.15557,0.72084,1.11466,0.00157128,0.00157128,0.00157128
60,185.986,0.82771,0.52029,0.9926,0.74788,0.522,0.68995,0.43082,1.11567,0.6614,1.06891,0.00156963,0.00156963,0.00156963
61,188.971,0.87266,0.53014,0.98803,0.64253,0.50743,0.61225,0.38848,1.15954,0.76926,1.0741,0.00156798,0.00156798,0.00156798
62,192.066,0.84012,0.51396,0.97476,0.60593,0.54446,0.60617,0.368,1.16675,0.7856,1.15236,0.00156633,0.00156633,0.00156633
63,195.015,0.84863,0.52235,0.97864,0.7638,0.51519,0.65795,0.4155,1.16013,0.66179,1.13336,0.00156468,0.00156468,0.00156468
64,197.922,0.83499,0.51589,0.98915,0.65494,0.50885,0.6466,0.40644,1.13549,0.77816,1.0948,0.00156303,0.00156303,0.00156303
65,200.811,0.80239,0.51246,0.97863,0.65018,0.62171,0.68723,0.41983,1.11836,0.66801,1.08013,0.00156138,0.00156138,0.00156138
66,203.858,0.86503,0.52035,0.96906,0.66764,0.60737,0.68389,0.41824,1.0867,0.63275,1.05428,0.00155973,0.00155973,0.00155973
67,206.936,0.81518,0.49602,0.97381,0.72523,0.62806,0.69692,0.44944,1.03274,0.5947,1.01051,0.00155808,0.00155808,0.00155808
68,209.92,0.83163,0.50665,0.98432,0.80107,0.55172,0.68157,0.43425,1.15201,0.71261,1.09409,0.00155643,0.00155643,0.00155643
69,212.943,0.83521,0.50735,0.98593,0.68708,0.61284,0.69524,0.42012,1.10444,0.74178,1.07531,0.00155478,0.00155478,0.00155478
70,216.006,0.86933,0.53092,0.9785,0.83425,0.55211,0.68312,0.4282,1.10094,0.67069,1.05582,0.00155313,0.00155313,0.00155313
71,219.08,0.81216,0.48896,0.95841,0.70742,0.60252,0.70631,0.45196,1.046,0.62371,1.04402,0.00155148,0.00155148,0.00155148
72,222.245,0.83292,0.5048,0.94724,0.58206,0.62121,0.63962,0.39604,1.05743,0.77965,1.08126,0.00154983,0.00154983,0.00154983
73,225.326,0.79294,0.48749,0.94855,0.74952,0.62137,0.70401,0.43747,1.09057,0.58748,1.07491,0.00154818,0.00154818,0.00154818
